"","Site","Site.Age","Forest.Type","Canopy","variable","value"
"360",15,47,"D","Upper canopy","Deciduous",12
"361",15.1,78,"BS","Upper canopy","Deciduous",NA
"362",15.2,83,"BS","Upper canopy","Deciduous",NA
"363",15.3,85,"BS","Upper canopy","Deciduous",NA
"364",15.4,75,"BS","Upper canopy","Deciduous",NA
"365",15.5,80,"BS","Upper canopy","Deciduous",NA
"366",15.6,83,"BS","Upper canopy","Deciduous",NA
"367",16,3,"recent fire","Upper canopy","Deciduous",NA
"368",16.1,118,"D","Upper canopy","Deciduous",16.45
"369",16.2,100,"D","Upper canopy","Deciduous",11.41
"370",16.3,106,"D","Upper canopy","Deciduous",15.25
"371",16.4,68,"D","Upper canopy","Deciduous",19.58
"372",16.5,138,"D","Upper canopy","Deciduous",17.667
"373",16.6,68,"D","Upper canopy","Deciduous",1.66
"374",17,16,"Early recovery","Upper canopy","Deciduous",NA
"375",17.1,176,"D","Upper canopy","Deciduous",36.25
"376",17.2,69,"D","Upper canopy","Deciduous",45.5
"377",17.3,118,"D","Upper canopy","Deciduous",39.167
"378",17.4,136,"D","Upper canopy","Deciduous",37.16
"379",17.5,148,"D","Upper canopy","Deciduous",32.9
"380",17.6,72,"D","Upper canopy","Deciduous",38.33
"381",18,8,"recent fire","Upper canopy","Deciduous",NA
"382",18.1,125,"BS","Upper canopy","Deciduous",NA
"383",18.2,175,"D","Upper canopy","Deciduous",NA
"384",19,60,"D","Upper canopy","Deciduous",6
"385",20,14,"Early recovery","Upper canopy","Deciduous",NA
"386",20.1,75,"BS","Upper canopy","Deciduous",NA
"387",20.2,63,"BS","Upper canopy","Deciduous",NA
"388",20.3,73,"BS","Upper canopy","Deciduous",NA
"389",21.1,73,"BS","Upper canopy","Deciduous",NA
"390",21.2,106,"BS","Upper canopy","Deciduous",4.3
"391",22.1,60,"D","Upper canopy","Deciduous",43.3
"392",22.2,70,"WS","Upper canopy","Deciduous",5
"393",22.3,50,"D","Upper canopy","Deciduous",72
"394",23.2,83,"D","Upper canopy","Deciduous",25
"395",23.3,76,"D","Upper canopy","Deciduous",31.6
"396",24.1,83,"WS","Upper canopy","Deciduous",4.3
"397",24.2,142,"D","Upper canopy","Deciduous",47.5
